,0
E0_lower,0.7601915508684778
E0,0.8104006759468496
E0_upper,0.8594901942127766
E1_lower,3.4000932669392203e-07
E1,0.06437472477145953
E1_upper,0.34955975680715445
E2_lower,0.21094139167616116
E2,0.2679389249208962
E2_upper,0.2975144582579957
E3_lower,0.02132830990824623
E3,0.603898013490296
E3_upper,0.9999912797261818
h1_lower,0.08197664501754337
h1,0.13501947699336173
h1_upper,0.22682772667686624
h2_lower,1.3589115220905186
h2,2.0359339362910602
h2_upper,3.10683511721086
C1_lower,0.25522427973584805
C1,99.99793447203268
C1_upper,99.9999999999684
C2_lower,2.1007293559554587
C2,2.4716343281584425
C2_upper,3.128918235300125
beta_lower,-1.2784280231503518
beta,-0.7231964087426163
beta_upper,0.19503586279998258
alpha12_lower,0.00010277905759687299
alpha12,0.3089599443347054
alpha12_upper,5583.2740444494175
alpha21_lower,0.00010067175694625929
alpha21,0.10452921398899538
alpha21_upper,9.785586845271894
gamma12_lower,0.00010349949456138995
gamma12,0.020917160522878845
gamma12_upper,1417.4722768714755
gamma21_lower,0.38663732029391845
gamma21,23.481305793957333
gamma21_upper,9701.858113355183
Converged,True
R^2,0.8958541274746412
RSS,0.16558165289652252
BIC,-402.55607565348845
AIC,-427.65116306494434
Bootstrap Iterations,499
