,0
E0_lower,1.854683451646891
E0,1.8946491884580372
E0_upper,1.9387293967569121
E1_lower,2.9828964610898215e-27
E1,0.0008357773120562845
E1_upper,0.16077417450749226
E2_lower,0.3043371300862574
E2,0.3657391431186493
E2_upper,0.4172578192341972
E3_lower,0.0003637325330895937
E3,0.13051914317948518
E3_upper,0.2314172058137044
h1_lower,0.32375621301086466
h1,0.35805746381673104
h1_upper,0.4475553958077561
h2_lower,3.349776603374717
h2,3.9062783686665528
h2_upper,4.610775307731471
C1_lower,0.006464730026237657
C1,0.010526294499258947
C1_upper,0.013756509634580704
C2_lower,2.984120585766848
C2,3.126811057678878
C2_upper,3.28437520898545
beta_lower,-0.1179603481759846
beta,-0.06847737221849914
beta_upper,0.014994296586389934
alpha12_lower,1.8214206805197874
alpha12,2.4815143222219938
alpha12_upper,2.7771069066441862
alpha21_lower,0.00010253648096617147
alpha21,0.29333750456763436
alpha21_upper,5.691283829548361
gamma12_lower,0.4953972585930026
gamma12,3.0036933177709684
gamma12_upper,12.68556494927384
gamma21_lower,0.1116127734300776
gamma21,0.6049614561088733
gamma21_upper,1.5998456927410245
Converged,True
R^2,0.9934816644863478
RSS,0.10231141861841005
BIC,-329.2182340227506
AIC,-349.80641545929745
Bootstrap Iterations,493
