,0
E0_lower,1.4677843616476545
E0,1.514446185792241
E0_upper,1.5626816144731919
E1_lower,0.6674904649112867
E1,0.7394196474976291
E1_upper,0.7962312283615842
E2_lower,0.2290165924596605
E2,0.46810858614554884
E2_upper,0.6172408134736994
E3_lower,0.12436843461120553
E3,0.3823715199756619
E3_upper,0.45940506355094
h1_lower,0.5756811481354118
h1,0.7936942603773248
h1_upper,1.0803564657849758
h2_lower,1.388471157166496
h2,1.7717425632031267
h2_upper,2.4614230648619007
C1_lower,0.009633049147012166
C1,0.013524758271168271
C1_upper,0.019774366408771924
C2_lower,3.554379040149949
C2,4.410055487971794
C2_upper,6.039412424509726
beta_lower,-0.145828516740449
beta,0.08194015602501245
beta_upper,0.38580595002547247
alpha12_lower,0.2897605843109754
alpha12,1.5566237917462977
alpha12_upper,2.805066616933069
alpha21_lower,1.5562257376176347
alpha21,26.59294062469916
alpha21_upper,9999.999999993928
gamma12_lower,0.2860718009625849
gamma12,0.6118546710659652
gamma12_upper,1.2073228914948548
gamma21_lower,0.11069548416623937
gamma21,1.6426258853224796
gamma21_upper,77.86336354028742
Converged,True
R^2,0.9843774117228864
RSS,0.0898846061741461
BIC,-336.9879095205199
AIC,-357.57609095706675
Bootstrap Iterations,490
