,0
E0_lower,2.065802624363646
E0,2.1264711826370655
E0_upper,2.1849092210521057
E1_lower,1.8332933224241587e-32
E1,0.0086562674326959
E1_upper,0.15882694421796745
E2_lower,0.06916793212784027
E2,0.15321317550385527
E2_upper,0.23058988607761147
E3_lower,2.670789659477703e-19
E3,0.04013779575705411
E3_upper,0.1331169674599551
h1_lower,0.42518605724490294
h1,0.48629315668492135
h1_upper,0.6261212604432997
h2_lower,4.060462896228387
h2,4.749756402603951
h2_upper,5.757578746299476
C1_lower,0.004169008691352117
C1,0.006137664805327416
C1_upper,0.008589485658755022
C2_lower,3.496230623514532
C2,3.695139012439539
C2_upper,3.9324252108009423
beta_lower,-0.061342362825914196
beta,-0.014865098974581653
beta_upper,0.059191041351662296
alpha12_lower,0.0009147815801430854
alpha12,2.1745308034865483
alpha12_upper,7.04918941246042
alpha21_lower,0.00010080565198967259
alpha21,0.5401228525364926
alpha21_upper,9999.998872549213
gamma12_lower,0.008850034107879861
gamma12,0.2753321765567686
gamma12_upper,1.0319116043454941
gamma21_lower,0.01570734214451724
gamma21,0.35001301898054304
gamma21_upper,14.676371282239717
Converged,True
R^2,0.990551060941669
RSS,0.2533899021563258
BIC,-274.8037461031382
AIC,-295.39192753968507
Bootstrap Iterations,500
