drug1.conc,drug2.conc,effect,hsa
0.0,0.0,2.2624,
0.01,0.0,1.0535,
0.1,0.0,0.4383,
1.0,0.0,0.1623,
0.0,1.25,2.2052,
0.0,2.5,2.0346,
0.0,5.0,0.5754,
0.0,10.0,0.1649,
0.01,1.25,0.7509999999999999,0.28120000000000034
0.01,2.5,0.5688,0.46340000000000026
0.01,5.0,0.2941,0.22526666666666667
0.01,10.0,0.1521,0.010566666666666641
0.1,1.25,0.4011,0.03866666666666663
0.1,2.5,0.3438,0.09596666666666664
0.1,5.0,0.1734,0.26636666666666664
0.1,10.0,0.0835,0.07916666666666665
1.0,1.25,0.2016,-0.053333333333333344
1.0,2.5,0.1565,-0.008233333333333342
1.0,5.0,0.0667,0.08156666666666666
1.0,10.0,0.0555,0.09276666666666666
0.0,0.0,2.0039,
0.01,0.0,1.0214,
0.1,0.0,0.4412,
1.0,0.0,0.1261,
0.0,1.25,2.022,
0.0,2.5,1.9423,
0.0,5.0,0.555,
0.0,10.0,0.17300000000000001,
0.01,1.25,0.8173,0.2149000000000002
0.01,2.5,0.5368,0.4954000000000002
0.01,5.0,0.2757,0.24366666666666664
0.01,10.0,0.1322,0.030466666666666642
0.1,1.25,0.3514,0.08836666666666665
0.1,2.5,0.316,0.12376666666666664
0.1,5.0,0.1819,0.25786666666666663
0.1,10.0,0.0891,0.07356666666666666
1.0,1.25,0.1603,-0.01203333333333334
1.0,2.5,0.1321,0.016166666666666663
1.0,5.0,0.0711,0.07716666666666666
1.0,10.0,0.0706,0.07766666666666666
0.0,0.0,2.1904,
0.01,0.0,1.0217,
0.1,0.0,0.4398,
1.0,0.0,0.1564,
0.0,1.25,2.083,
0.0,2.5,1.7297,
0.0,5.0,0.4277,
0.0,10.0,0.1501,
0.01,1.25,0.7761,0.2561000000000002
0.01,2.5,0.4345,0.5977000000000002
0.01,5.0,0.256,0.26336666666666664
0.01,10.0,0.1165,0.04616666666666665
0.1,1.25,0.3773,0.062466666666666615
0.1,2.5,0.3227,0.11706666666666665
0.1,5.0,0.146,0.2937666666666666
0.1,10.0,0.0819,0.08076666666666665
1.0,1.25,0.13699999999999998,0.011266666666666675
1.0,2.5,0.1144,0.033866666666666656
1.0,5.0,0.0563,0.09196666666666665
1.0,10.0,0.0512,0.09706666666666666
