drug1.conc,drug2.conc,effect,hsa
0.0,0.0,1.5668,
0.01,0.0,1.2128,
0.1,0.0,0.8688,
1.0,0.0,0.765,
0.0,1.25,1.4018,
0.0,2.5,1.3085,
0.0,5.0,0.9697,
0.0,10.0,0.6883,
0.01,1.25,0.9704,0.22539999999999993
0.01,2.5,0.858,0.3378
0.01,5.0,0.6341,0.27216666666666667
0.01,10.0,0.5519,0.1221000000000001
0.1,1.25,0.6997,0.16466666666666674
0.1,2.5,0.6993,0.1650666666666667
0.1,5.0,0.5526,0.31176666666666675
0.1,10.0,0.4699,0.20410000000000006
1.0,1.25,0.596,0.15923333333333334
1.0,2.5,0.6416,0.11363333333333336
1.0,5.0,0.5041,0.2511333333333333
1.0,10.0,0.4732,0.20080000000000003
0.0,0.0,1.5052,
0.01,0.0,1.1783,
0.1,0.0,0.8404,
1.0,0.0,0.7232,
0.0,1.25,1.3633,
0.0,2.5,1.3151,
0.0,5.0,0.9015,
0.0,10.0,0.6994,
0.01,1.25,1.0322,0.16359999999999997
0.01,2.5,0.7985,0.3973
0.01,5.0,0.5996,0.30666666666666664
0.01,10.0,0.5114,0.16260000000000008
0.1,1.25,0.7744,0.08996666666666675
0.1,2.5,0.6778,0.18656666666666677
0.1,5.0,0.4998,0.3645666666666667
0.1,10.0,0.4679,0.20610000000000006
1.0,1.25,0.6729,0.08233333333333326
1.0,2.5,0.5918,0.16343333333333332
1.0,5.0,0.4965,0.2587333333333333
1.0,10.0,0.4953,0.17870000000000003
0.0,0.0,1.5015,
0.01,0.0,1.1963,
0.1,0.0,0.8839,
1.0,0.0,0.7775,
0.0,1.25,1.3528,
0.0,2.5,1.2256,
0.0,5.0,0.8476,
0.0,10.0,0.6343,
0.01,1.25,0.8907,0.3050999999999999
0.01,2.5,0.8414,0.35439999999999994
0.01,5.0,0.5813,0.3249666666666666
0.01,10.0,0.475,0.19900000000000007
0.1,1.25,0.7586,0.10576666666666668
0.1,2.5,0.6692,0.1951666666666667
0.1,5.0,0.5391,0.3252666666666667
0.1,10.0,0.43,0.24400000000000005
1.0,1.25,0.6940000000000001,0.06123333333333325
1.0,2.5,0.5675,0.1877333333333333
1.0,5.0,0.5406,0.21463333333333334
1.0,10.0,0.382,0.29200000000000004
