,0
E0_lower,0.7474483862716279
E0,0.7697261959233275
E0_upper,0.7949683300128534
E1_lower,0.49666340211911164
E1,0.5214523998261894
E1_upper,0.5470608238563561
E2_lower,0.37738523687739967
E2,0.3935786001963776
E2_upper,0.4099902829375837
E3_lower,0.3121468443560574
E3,0.3303699864920935
E3_upper,0.3484361272548071
h1_lower,1.3907871073094156
h1,7.910545385133918
h1_upper,23.576542972318194
h2_lower,16.043174086759592
h2,30.593144054487457
h2_upper,42.98537410424647
C1_lower,0.008690793304834646
C1,0.010025333910265841
C1_upper,0.01175714212455901
C2_lower,2.450814601008183
C2,2.480394744006314
C2_upper,2.502614346894461
beta_lower,0.10472085814201745
beta,0.16804205163700686
beta_upper,0.24143035336634389
alpha12_lower,0.8755359330342827
alpha12,0.9477623085011467
alpha12_upper,0.9805647201146865
alpha21_lower,0.2789159749750102
alpha21,0.8919451951694791
alpha21_upper,1.2236825796728983
gamma12_lower,0.8437767085994464
gamma12,0.9515262219925165
gamma12_upper,1.4101395518623068
gamma21_lower,0.7196382893343565
gamma21,1.1210850279722813
gamma21_upper,3.1322056547899044
Converged,True
R^2,0.9591416933904068
RSS,0.04559197007339837
BIC,-377.7156147954349
AIC,-398.3037962319817
Bootstrap Iterations,353
