,0
E0_lower,0.7734014352424563
E0,0.804357282770476
E0_upper,0.8454734837322362
E1_lower,0.6911460870115811
E1,0.7384059817130251
E1_upper,0.7788427296148983
E2_lower,0.41125871086042987
E2,0.43281111115952814
E2_upper,0.45888536583899964
E3_lower,0.3609674986686824
E3,0.3903182727504733
E3_upper,0.4320982434717716
h1_lower,38.225941523796564
h1,38.85802972647178
h1_upper,39.95132619175632
h2_lower,25.614298927077833
h2,26.731787989275645
h2_upper,27.27493632216083
C1_lower,0.02492929749167294
C1,0.024931275492935747
C1_upper,0.026709503287333704
C2_lower,2.4029822809978514
C2,2.4531887175434877
C2_upper,2.509960955454712
beta_lower,-0.00853042015548874
beta,0.1143675851235786
beta_upper,0.2225664579236037
alpha12_lower,0.9835567459481261
alpha12,1.0000035922979422
alpha12_upper,2.740428876815409
alpha21_lower,0.9999999241181308
alpha21,0.9999999999866714
alpha21_upper,1.0202997693703622
gamma12_lower,0.8722546359096117
gamma12,0.9933450242103966
gamma12_upper,1.31779247713136
gamma21_lower,0.9749402410241735
gamma21,1.0000000000121259
gamma21_upper,1.0000009398100382
Converged,True
R^2,0.8796790309748402
RSS,0.16575562654688433
BIC,-286.95989633605853
AIC,-306.81232213982867
Bootstrap Iterations,301
